diameter,height,hopper,count
42.0000,25.6667,Flat,307
48.0000,33.0000,Flat,294
36.0000,25.6667,Flat,267
48.0000,36.6667,Flat,185
48.0000,29.3333,Flat,139
48.0000,25.6667,Flat,131
36.0000,22.0000,Flat,95
42.0000,33.0000,Flat,77
27.0000,18.3333,Flat,73
48.0000,22.0000,Flat,65
24.0000,22.0000,Flat,64
42.0000,29.3333,Flat,53
30.0000,24.0000,Flat,49
36.0000,29.3333,Flat,48
24.0000,18.6667,Flat,47
54.0000,47.7500,Flat,42
60.0000,47.6667,Flat,41
42.0000,22.0000,Flat,39
36.0000,33.0000,Flat,38
60.0000,44.0000,Flat,38
30.0000,22.0000,Flat,34
48.0000,44.0000,Flat,33
21.0000,18.3333,Flat,33
27.0000,22.0000,Flat,31
36.0000,40.3333,Flat,30
42.0000,36.6667,Flat,29
24.0000,18.3333,Flat,28
18.0000,21.3333,Flat,27
48.0000,40.3333,Flat,27
48.0000,18.3333,Flat,26
48.0000,36.7500,Flat,24
21.0000,21.3333,Flat,22
27.0000,25.6667,Flat,22
36.0000,24.0000,Flat,21
42.0000,24.0000,Flat,20
18.0000,13.5000,Flat,20
24.0000,25.6667,Flat,20
24.0000,29.3333,Flat,20
27.0000,22.3333,Flat,19
60.0000,36.6667,Flat,18
48.0000,33.0000,Hopper,18
33.0000,32.0000,Flat,18
48.0000,24.0000,Flat,17
18.0000,30.0000,Hopper,16
36.0000,36.6667,Flat,16
24.0000,29.0000,Flat,15
48.0000,35.0000,Flat,15
60.0000,40.3333,Flat,15
36.0000,23.3333,Flat,15
30.0000,26.5833,Flat,15
48.0000,66.0000,Flat,14
42.0000,40.3333,Flat,14
48.0000,51.3333,Flat,12
24.0000,47.6667,Flat,12
30.0000,18.3333,Flat,12
21.0000,21.0000,Hopper,12
18.0000,25.0000,Hopper,12
15.0000,20.0000,Hopper,11
21.0000,22.0000,Flat,11
15.0000,22.5000,Flat,11
36.0000,21.3333,Flat,10
36.0000,25.1667,Flat,10
48.0000,32.0000,Flat,10
42.0000,51.3333,Flat,10
60.0000,37.3333,Flat,10
36.0000,26.6667,Flat,9
18.0000,20.0000,Hopper,9
54.0000,33.0000,Flat,9
24.0000,76.0000,Flat,9
24.0000,22.3333,Flat,9
18.0000,16.0000,Hopper,9
12.0000,11.0000,Hopper,9
48.0000,73.3333,Flat,8
18.0000,18.3333,Flat,8
36.0000,29.2500,Flat,8
30.0000,25.6667,Flat,8
48.0000,34.6667,Flat,8
42.0000,28.5000,Flat,8
48.0000,61.3333,Flat,8
60.0000,66.6667,Flat,8
27.0000,26.5000,Flat,8
60.0000,33.0000,Flat,8
33.0000,29.3333,Flat,7
42.0000,18.3333,Flat,7
54.0000,47.6667,Flat,6
24.0000,24.0000,Flat,6
33.0000,22.0000,Flat,6
105.0000,72.2500,Flat,6
48.0000,42.5000,Flat,5
48.0000,36.0000,Flat,5
33.0000,66.0833,Flat,5
48.0000,21.3333,Flat,5
75.0000,93.3333,Flat,5
48.0000,44.0000,Hopper,5
33.0000,18.6667,Flat,5
30.0000,29.0000,Flat,5
30.0000,29.3333,Flat,5
27.0000,21.3333,Flat,5
33.0000,42.6667,Flat,5
33.0000,25.1667,Flat,5
27.0000,33.0000,Flat,5
36.0000,34.6667,Flat,4
24.0000,33.0000,Flat,4
36.0000,23.0000,Flat,4
27.0000,40.0000,Flat,4
42.0000,21.2500,Flat,4
18.0000,16.0000,Flat,4
30.0000,27.0000,Flat,4
18.0000,13.3333,Flat,4
105.0000,51.3333,Flat,4
21.0000,16.0000,Flat,4
78.0000,61.3333,Flat,4
21.0000,22.0000,Hopper,4
39.0000,29.4167,Flat,4
48.0000,56.0000,Flat,4
18.0000,22.0000,Flat,4
30.0000,18.6667,Flat,3
24.0000,25.3333,Flat,3
42.0000,62.3333,Flat,3
15.0000,25.0000,Hopper,3
48.0000,29.2500,Flat,3
24.0000,16.0000,Flat,3
33.0000,22.6667,Flat,3
48.0000,28.3333,Flat,3
72.0000,66.0000,Flat,3
60.0000,69.6667,Flat,3
30.0000,21.3333,Flat,3
75.0000,64.0000,Flat,3
36.0000,18.6667,Flat,3
60.0000,82.6667,Flat,3
30.0000,21.0000,Flat,3
48.0000,62.3333,Flat,3
36.0000,48.0000,Flat,3
54.0000,36.6667,Flat,3
42.0000,58.6667,Flat,3
36.0000,21.0000,Flat,3
48.0000,29.5000,Flat,2
54.0000,72.4167,Flat,2
48.0000,31.5000,Flat,2
33.0000,19.8333,Flat,2
60.0000,91.6667,Flat,2
36.0000,20.0000,Flat,2
18.0000,48.0000,Flat,2
48.0000,84.3333,Flat,2
72.0000,44.0000,Flat,2
48.0000,42.4167,Flat,2
12.0000,35.0000,Hopper,2
42.0000,31.9167,Flat,2
48.0000,47.6667,Flat,2
60.0000,42.6667,Flat,2
48.0000,88.0000,Flat,2
24.0000,17.5000,Flat,2
54.0000,28.6667,Flat,2
18.0000,10.6667,Flat,2
27.0000,19.2500,Flat,2
54.0000,62.3333,Flat,2
18.0000,14.3333,Flat,2
54.0000,29.2500,Flat,1
60.0000,29.3333,Flat,1
27.0000,16.0000,Flat,1
42.0000,50.3333,Flat,1
42.0000,21.3333,Flat,1
60.0000,43.6667,Flat,1
33.0000,21.3333,Flat,1
78.0000,64.0000,Flat,1
48.0000,35.4167,Flat,1
21.0000,17.3333,Flat,1
54.0000,53.3333,Flat,1
24.0000,17.4167,Flat,1
24.0000,17.0000,Flat,1
48.0000,38.9167,Flat,1
33.0000,21.5000,Flat,1
21.0000,20.0000,Flat,1
30.0000,32.0000,Flat,1
54.0000,45.3333,Flat,1
48.0000,48.0000,Flat,1
54.0000,39.4167,Flat,1
30.0000,26.6667,Flat,1
15.0000,17.3333,Flat,1
36.0000,19.0000,Flat,1
48.0000,60.0000,Flat,1
54.0000,58.6667,Flat,1
48.0000,39.0000,Flat,1
48.0000,40.0000,Flat,1
21.0000,18.6667,Flat,1
27.0000,15.0000,Flat,1
24.0000,21.3333,Flat,1
48.0000,53.3333,Flat,1
48.0000,66.6667,Flat,1
48.0000,47.6667,Hopper,1
